104,9,127,Sốp Cộp,huyen-sop-cop,127
105,9,128,Vân Hồ,huyen-van-ho,128
106,10,132,Yên Bái,thanh-pho-yen-bai,132
107,10,133,Nghĩa Lộ,thi-xa-nghia-lo,133
108,10,135,Lục Yên,huyen-luc-yen,135
109,10,136,Văn Yên,huyen-van-yen,136
110,10,137,Mù Căng Chải,huyen-mu-cang-chai,137
111,10,138,Trấn Yên,huyen-tran-yen,138
112,10,139,Trạm Tấu,huyen-tram-tau,139
113,10,140,Văn Chấn,huyen-van-chan,140
114,10,141,Yên Bình,huyen-yen-binh,141
115,11,148,Hòa Bình,thanh-pho-hoa-binh,148
116,11,150,Đà Bắc,huyen-da-bac,150
117,11,152,Lương Sơn,huyen-luong-son,152
118,11,153,Kim Bôi,huyen-kim-boi,153
119,11,154,Cao Phong,huyen-cao-phong,154
120,11,155,Tân Lạc,huyen-tan-lac,155
121,11,156,Mai Châu,huyen-mai-chau,156
122,11,157,Lạc Sơn,huyen-lac-son,157
123,11,158,Yên Thủy,huyen-yen-thuy,158
124,11,159,Lạc Thủy,huyen-lac-thuy,159
125,12,164,Thái Nguyên,thanh-pho-thai-nguyen,164
126,12,165,Sông Công,thanh-pho-song-cong,165
127,12,167,Định Hóa,huyen-dinh-hoa,167
128,12,168,Phú Lương,huyen-phu-luong,168
129,12,169,Đồng Hỷ,huyen-dong-hy,169
130,12,170,Võ Nhai,huyen-vo-nhai,170
131,12,171,Đại Từ,huyen-dai-tu,171
132,12,172,Phổ Yên,thi-xa-pho-yen,172
133,12,173,Phú Bình,huyen-phu-binh,173
134,13,178,Lạng Sơn,thanh-pho-lang-son,178
135,13,180,Tràng Định,huyen-trang-dinh,180
136,13,181,Bình Gia,huyen-binh-gia,181
137,13,182,Văn Lãng,huyen-van-lang,182
138,13,183,Cao Lộc,huyen-cao-loc,183
139,13,184,Văn Quan,huyen-van-quan,184
140,13,185,Bắc Sơn,huyen-bac-son,185
141,13,186,Hữu Lũng,huyen-huu-lung,186
142,13,187,Chi Lăng,huyen-chi-lang,187
143,13,188,Lộc Bình,huyen-loc-binh,188
144,13,189,Đình Lập,huyen-dinh-lap,189
145,14,193,Hạ Long,thanh-pho-ha-long,193
146,14,194,Móng Cái,thanh-pho-mong-cai,194
147,14,195,Cẩm Phả,thanh-pho-cam-pha,195
148,14,196,Uông Bí,thanh-pho-uong-bi,196
149,14,198,Bình Liêu,huyen-binh-lieu,198
150,14,199,Tiên Yên,huyen-tien-yen,199
id,province_id,code,name,slug,order
151,14,200,Đầm Hà,huyen-dam-ha,200
152,14,201,Hải Hà,huyen-hai-ha,201
153,14,202,Ba Chẽ,huyen-ba-che,202
154,14,203,Vân Đồn,huyen-van-don,203
